"property_id","property_name","title","Beds","Landmark","addressLocality","addressRegion","area_sqft","balcony","bathroom","area","facing","floor","furnishing","image_url","latitude","longitude","overlook","parking","price","status","url","amenities","url_overview","flat_details","NearbyLocality","rating"
"70059943","","2 BHK Flat for Sale in Lajwanti Garden, Janakpuri, New Delhi","2","Lajwanti Garden, New Delhi","Lajwanti Garden, Janakpuri","New Delhi","8361 per sqft ","0","2","Super area:110 sqm","South - East","3 out of 4","Semi-Furnished","https://img.staticmb.com/mbphoto/property/cropped_images/2024/Apr/22/Photo_h300_w450/70059943_10_MG20240420WA0002_300_450.jpg","28.6127935","77.107449","Garden/Park","0","99 Lac ","Ready to Move","https://www.magicbricks.com/propertyDetails/2-BHK-110-Sq-m-Multistorey-Apartment-FOR-Sale-Lajwanti-Garden-in-New-Delhi&id=4d423730303539393433","","https://www.magicbricks.com/Lajwanti-Garden-in-New-Delhi-Overview","['Price Breakup: ₹99 Lac'], ['Address: Wz338., Lajwanti Garden, New Delhi - West, Delhi NCR'], ['Landmarks: A maintained park in the front with a walking trail market rear.'], ['Furnishing: Semi-FurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Flooring: Marble'], ['Type of Ownership: Freehold'], ['Overlooking: Garden/Park']","",""
"70126637","Chinar Apartment","3 BHK Flat for Sale in Sector 18 Dwarka, New Delhi","3","Sector 18 Dwarka, New Delhi","Sector 18 Dwarka","New Delhi","5556 per sqft ","0","2","Super area:100 sqyrd","","2 out of 4","Unfurnished","https://img.staticmb.com/mbphoto/property/cropped_images/2023/Nov/22/Photo_h300_w450/70126637_4_Screenshot20231120174045_300_450.jpg","28.59184407","77.0336041","","0","50 Lac ","Ready to Move","https://www.magicbricks.com/propertyDetails/3-BHK-100-Sq-yrd-Multistorey-Apartment-FOR-Sale-Dwarka-Sector-18-in-New-Delhi&id=4d423730313236363337","Lift, Club House, Park, Reserved Parking, Security, Water Storage","https://www.magicbricks.com/Dwarka-Sector-18-in-New-Delhi-Overview","['Price Breakup: ₹50 Lac'], ['Address: Sector 18 Dwarka, Sector 18 Dwarka, New Delhi - West, Delhi NCR'], ['Furnishing: UnfurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Loan Offered: Estimated EMI:\xa0₹22551Loan amount is estimated as 70% of home priceLoan term is considered as 25 yearsInterest rate is taken as 6%Apply for Home Loan+2']","National Law University, Guru Gobind Singh Indraprastha University, Netaji Subhas University Of Technology, Paramount International School, Indian Heights School, Mount Carmel School, Dwarka Sector 11 Metro Station (Blue Line), Dwarka Sector 10 Metro Station (Blue Line), Vardhaman Mall, Sector 11 Dwarka, New Delhi, Sector 12 Dwarka, New Delhi, Sector 13 Dwarka, New Delhi, Sector 18A Dwarka, New Delhi, Dwarka, New Delhi, Sector 17 Dwarka, New Delhi, Indira Gandhi International Airport",""
"10543439","Kanchan Apartments","2 BHK Flat for Sale in Geeta Colony, New Delhi","2","Geeta Colony, New Delhi","Geeta Colony","New Delhi","5000 per sqft ","1","2","Carpet area:860 sqm","North - East","3 out of 3","Semi-Furnished","","28.6467911","77.2754568","Garden/Park, Main Road","0","65 Lac ","","https://www.magicbricks.com/propertyDetails/2-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Sale-Geeta-Colony-in-New-Delhi&id=4d423130353433343339","Power Back Up, Rain Water Harvesting, Park, Reserved Parking, Security, Water Storage","https://www.magicbricks.com/Geeta-Colony-in-New-Delhi-Overview","['Price Breakup: ₹65 Lac | ₹8,05,233 Stamp Duty, Registration Charges'], ['Booking Amount: ₹1.0 Lac'], ['Address: Near Dushera Maidan, Geeta Colony, Delhi 110031, Geeta Colony, New Delhi - East, Delhi NCR'], ['Landmarks: This is freehold property located in Kanchan Apartments ,Geeta Colony,'], ['Furnishing: Semi-FurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Flooring: Vitrified'], ['Type of Ownership: Freehold']","Sai Bhavan School, Government Boys Senior Secondary School Geeta Colony, Bhai Parmanand Institutes Of Business Studies, St. Lawrence Convent Scott, Happy English School, Maharishi Valmiki College Of Education, New Delhi Railway Station, Gandhi Nagar, Geeta Colony, Shamshan Ghat Pusta, Angel Mall, Pacific Mall, Ansal Plaza, East Delhi Mall, Mahagun Metro Mall, Shopprix Mall, Bank Enclave, New Delhi, Raghubarpura, New Delhi, New Govindpura, New Delhi, Old Govindpura, New Delhi, Chander Nagar Krishna Nagar, New Delhi, Rajgarh Colony, New Delhi, Advant Navis Business Park, Connaught Place, Patparganj Industrial Area, Indira Gandhi International Airport",""
"70400837","","1 BHK Flat for Sale in Karol Bagh, New Delhi","1","Karol Bagh, New Delhi","Karol Bagh","New Delhi","11250 per sqft ","0","1","Carpet area:350 sqft","South - East","2 out of 3","Unfurnished","https://img.staticmb.com/mbphoto/property/cropped_images/2024/Jan/10/Photo_h300_w450/70400837_3_PropertyImage1704895353951_300_450.jpg","28.647598266601562","77.28499603271484","Garden/Park, Main Road","0","45 Lac ","Ready to Move","https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Karol-Bagh-in-New-Delhi&id=4d423730343030383337","","https://www.magicbricks.com/Karol-Bagh-in-New-Delhi-Overview","['Price Breakup: ₹45 Lac'], ['Address: Pyarelal road, opp khubram jajoriya park, Karol Bagh, New Delhi - Central, Delhi NCR'], ['Landmarks: khubram jaajoriya park'], ['Furnishing: UnfurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Flooring: Marble, Normal Tiles/Kotah Stone'], ['Loan Offered: Estimated EMI:\xa0₹20296Loan amount is estimated as 70% of home priceLoan term is considered as 25 yearsInterest rate is taken as 6%Apply for Home Loan'], ['Type of Ownership: Freehold']","vision IAS coaching, Tibbia College, Shankara IAS Acadamy, Ram Krishna Mission Medical Centre, Sri Guru Nanak Dev Khalsa College, Ramjas Higher Secondary School, Thana Deshbandhu Gupta Road, Sadhu Vaswani Marg, Deshbandhu Gupta Market, Ramjas Road, Karol Bagh Metro Station (Blue Line), New Delhi Railway Station, Karol Bagh Main Market, Guru Nanak Market, Vishal Market, Cld Market, Bawa Market, Vishal Mega Mart, Bara Hindu Rao, New Delhi, Kishan Ganj, New Delhi, Jhandewalan, New Delhi, Than Singh Nagar, New Delhi, Motia Khan, New Delhi, Dev Nagar, New Delhi, Apollo Spectra Hospital Karol Bagh, City Hospital, Mohan Eye Institute, Dr Narayan Chandra Joshi Hospital, Kolmet Hospital, Connaught Place, Kashmiri Gate, Indira Gandhi International Airport",""
"72420749","Janyug Apartment","2 BHK Flat for Sale in Sector 14 Rohini, New Delhi","2","Sector 14 Rohini, New Delhi","Sector 14 Rohini","New Delhi","12500 per sqft ","0","1","Carpet area:900 sqft","North","3 out of 3","Furnished","https://img.staticmb.com/mbphoto/property/cropped_images/2024/Apr/30/Photo_h300_w450/72420749_3_PropertyImage1714484723189_300_450.jpg","28.7084539","77.1315428","Garden/Park, Main Road","0","1.25 Cr ","Ready to Move","https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Rohini-Sector-14-in-New-Delhi&id=4d423732343230373439","Power Back Up, Park, Water Storage, Waste Disposal, DTH Television Facility","https://www.magicbricks.com/Rohini-Sector-14-in-New-Delhi-Overview","['Price Breakup: ₹1.25 Cr'], ['Booking Amount: ₹1.0 Lac'], ['Address: Sector 14 Rohini, New Delhi - North, Delhi NCR'], ['Landmarks: CRPF Public School'], ['Furnishing: FurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Flooring: Marble, Normal Tiles/Kotah Stone'], ['Loan Offered: Estimated EMI:\xa0₹56377Loan amount is estimated as 70% of home priceLoan term is considered as 25 yearsInterest rate is taken as 6%Apply for Home Loan+1']","Bon Accent, Lancer Convent, Nigam Pratibha Vidyalaya B Block Prashant Vihar, Mahatma Gandhi College Of Education, Capital College Of Fine Arts, Mini Me Play School, Pitampura (Red Line), Rohini East Metro (Red Line), Sarai Rohilla Railway Station, North Ex Mall, Vaishali Dakshini Pitampura, New Delhi, Sector 13 Rohini, New Delhi, Sector 9 Rohini, New Delhi, Block AD Dakshini Pitampura, New Delhi, Uttari Pitampura, New Delhi, Prashant Vihar, New Delhi, Jahangirpuri Industrial Area, Indira Gandhi International Airport",""
"71103709","","2 BHK Flat for Sale in Block B3 Paschim Vihar, New Delhi","2","Paschim Vihar Block B3, New Delhi","Block B3 Paschim Vihar","New Delhi","","1","2","Carpet area:86 sqm","East","3 out of 3","Semi-Furnished","","28.665069580078125","77.10173034667969","Main Road","0","1.10 Cr ","Ready to Move","https://www.magicbricks.com/propertyDetails/2-BHK-86-Sq-m-Multistorey-Apartment-FOR-Sale-Paschim-Vihar-Block-B3-in-New-Delhi&id=4d423731313033373039","","https://www.magicbricks.com/Paschim-Vihar-Block-B3-in-New-Delhi-Overview","['Price Breakup: ₹1.1 Cr'], ['Address: Gasta Co-operative Group Housing Society Ltd, B3 Paschim Vihar, New Delhi, Paschim Vihar Block B3, New Delhi - West, Delhi NCR'], ['Landmarks: BG8 Central Market'], ['Furnishing: Semi-FurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Flooring: Mosaic'], ['Type of Ownership: Freehold'], ['Overlooking: Main Road']","Bharti Vidyapeeth's College Of Engineering (Bvp), St. Sophia, Divine Happy, St. Froebel Sr.Sec. School, St Matthew's Public School, B3 School, Peera Garhi (Green Line), Paschim Vihar West (Green Line), Sarai Rohilla Railway Station, New Delhi Railway Station, Pacific Mall Tagore Garden, Jawala Heri Market, City Square Mall, Bhera Enclave, New Delhi, Nangloi Saiyed, New Delhi, Paschim Puri, New Delhi, Jwalaheri Village, New Delhi, Khayala, New Delhi, Paschim Vihar, New Delhi, Indira Gandhi International Airport",""
"71353575","","2 BHK Flat for Sale in Chander Nagar Krishna Nagar, New Delhi","2","Chandra Nagar, New Delhi","Chander Nagar Krishna Nagar","New Delhi","6494 per sqft ","2","2","Carpet area:800 sqft","East","3 out of 3","Semi-Furnished","https://img.staticmb.com/mbphoto/property/cropped_images/2024/Feb/12/Photo_h300_w450/71353575_7_1707724632060-297_300_450.jpg","28.652379989624023","77.28013610839844","","0","50 Lac ","Ready to Move","https://www.magicbricks.com/propertyDetails/2-BHK-770-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandra-Nagar-in-New-Delhi&id=4d423731333533353735","","https://www.magicbricks.com/Chandra-Nagar-in-New-Delhi-Overview","['Price Breakup: ₹50 Lac'], ['Address: c-3, Hazara park, Chander nagar, Chandra Nagar, New Delhi - East, Delhi NCR'], ['Furnishing: Semi-FurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Type of Ownership: Freehold'], ['Age of Construction: Less than 5 years']","",""
"40962315","","2 BHK Flat for Sale in Sector 24 Rohini, New Delhi","2","Sector 24 Rohini, New Delhi","Sector 24 Rohini","New Delhi","7600 per sqft ","1","1","Super area:750 sqft","North - East","Ground out of 4","Furnished","https://img.staticmb.com/mbphoto/property/cropped_images/2019/May/09/Photo_h300_w450/40962315_6_-6-_300_450.JPG","28.72975730895996","77.08778381347656","Main Road","0","57 Lac ","Ready to Move","https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Rohini-Sector-24-in-New-Delhi&id=4d423430393632333135","","https://www.magicbricks.com/Rohini-Sector-24-in-New-Delhi-Overview","['Price Breakup: ₹57 Lac | ₹3,99,000 Approx. Registration Charges | ₹200 Monthly'], ['Address: Pocket-26, Sector 24 Rohini, New Delhi - North, Delhi NCR'], ['Landmarks: Axis Bank, Sector-24, Rohini'], ['Furnishing: FurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Flooring: Marble'], ['Type of Ownership: Freehold'], ['Overlooking: Main Road']","Delhi School Of Professional Studies & Research, Delhi Technological University (Dtu), Rithala Metro Station-Red Line, Bhalswa Crossing, Adventure Island, Rohini, New Delhi, Deep Vihar Rohini, New Delhi, Sector 23 Rohini, New Delhi, Sector 25 Rohini, New Delhi, Phase 2 Budh Vihar, New Delhi, Prahlad Vihar, New Delhi, Aggarwal Cyber Plaza, Hb Twin Towers, Indira Gandhi International Airport",""
"71550831","","2 BHK Flat for Sale in Mohan Garden Uttam Nagar, New Delhi","2","Mohan Garden Uttam Nagar, New Delhi","Mohan Garden Uttam Nagar","New Delhi","4846 per sqft ","1","2","Carpet area:645 sqft","North","1 out of 4","Furnished","https://img.staticmb.com/mbphoto/property/cropped_images/2024/Mar/01/Photo_h300_w450/71550831_19_PropertyImage1709307496907_300_450.jpg","28.634801864624023","77.04914093017578","Garden/Park, Main Road","1","31.5 Lac ","Ready to Move","https://www.magicbricks.com/propertyDetails/2-BHK-650-Sq-ft-Builder-Floor-Apartment-FOR-Sale-in-New-Delhi&id=4d423731353530383331","","https://www.magicbricks.com/Mohan-Garden-Uttam-Nagar-in-New-Delhi-Overview","['Price Breakup: ₹31.5 Lac | ₹2,20,499 Approx. Registration Charges'], ['Booking Amount: ₹10,000'], ['Address: Block K2 Plot no 38 Mohan Garden, Mohan Garden Uttam Nagar, New Delhi - West, Delhi NCR'], ['Landmarks: Reliance fresh'], ['Furnishing: FurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands'], ['Flooring: Vitrified'], ['Type of Ownership: Freehold']","",""
"70566907","","3 BHK Flat for Sale in Azadpur, Ring Road, New Delhi","3","Azadpur, New Delhi","Azadpur, Ring Road","New Delhi","6275 per sqft ","0","3","Super area:85 sqyrd","","2 out of 4","Semi-Furnished","https://img.staticmb.com/mbphoto/property/cropped_images/2024/Feb/22/Photo_h300_w450/800_IMG20230708WA0022_300_450.jpg","28.7125534728986","77.1743319022275","","0","48 Lac ","Ready to Move","https://www.magicbricks.com/propertyDetails/3-BHK-85-Sq-yrd-Builder-Floor-Apartment-FOR-Sale-Azadpur-in-New-Delhi&id=4d423730353636393037","","https://www.magicbricks.com/Azadpur-in-New-Delhi-Overview","['Price Breakup: ₹48 Lac'], ['Address: Azadpur, New Delhi - North, Delhi NCR'], ['Furnishing: Semi-FurnishedOfferSave upto 40% on your Dream Home Interiors from Top Brands']","The Srijan School, Jyoti Model School, Arya Model School, Vivekananda Institute Of Professional Studies, Azadpur, Delhi Azadpur, Azadpur, Azadpur Metro Station, Adarsh Nagar Metro Station (Yellow Line), Samaypur Badli, Vardhman Mega Plaza, Dlf City Centre Mall, Stc Shopping Centre, Adarsh Nagar Extension, New Delhi, Kewal Park, New Delhi, Sarai Pipal Thala, New Delhi, Adarsh Nagar, New Delhi, Poorbi Shalimar Bag, New Delhi, Ring Road, New Delhi, Connaught Place, Indira Gandhi International Airport",""
